name	id	id_without_compartment	base_to_work_from	difference	base_smiles	modified_smiles
cholesterol-ester-6,9,12,15,18,21-tetra	MAM01471r	MAM01471	MAM00113r	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-9,12,15,18,21-tetra	MAM01482r	MAM01482	MAM00134r	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
1-acylglycerol-3P-9,12,15,18,21-tetra	MAM00466c	MAM00466	5497152	add 	OCC(O)CO[P](=O)(O)O	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC(O)CO[P](=O)(O)O
cholesterol-ester-6,9,12,15-octa	MAM01473r	MAM01473	MAM00108r	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-8,11,14,17-eico	MAM01480r	MAM01480	MAM02648l	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
1-acylglycerol-3P-8,11,14,17-eico	MAM00464c	MAM00464	5497152	add 	OCC(O)CO[P](=O)(O)O	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OCC(O)CO[P](=O)(O)O
cholesterol-ester-12,15,18,21-tetracosa	MAM01459r	MAM01459	MAM00317r	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\CC=CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CC/C=C\C/C=C\C/C=C\CC=CCCCCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA	MAM00869c	MAM00869	71581038	is this	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA	MAM00086c	MAM00086	71581038	oxo to hydroxy	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	CC/C=C\C/C=C\C/C=C\CCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
cholesterol-ester-11,14,17-eico	MAM01455r	MAM01455	MAM00012r	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-13,16,19-doco	MAM01460r	MAM01460	MAM00343r	replace coa with cholesterol	CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
12,13-epoxylinoleic acid-radical	MAM00313c	MAM00313	69497189	acid to radical	CC/C=C\CC1=C(O1)C/C=C\CCCCCCCC(=O)O	CC/C=C\CC1=C(O1)C/C=C\CCCCCCCC(=O)[O-]
cholesterol-ester-13-octade	MAM01464r	MAM01464	MAM00019l	replace acid with cholesterol	CCCC/C=C\CCCCCCCCCCCC(=O)[O-]	CCCC/C=C\CCCCCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-6,9-octa	MAM01474r	MAM01474	MAM00104l	replace acid with cholesterol	CCCCC/C=C/C/C=C/CCCCCCCC(=O)O	CCCCC/C=C/C/C=C/CCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
Linoelaidic Acid ACP (All Trans)	MAM03725c	MAM03725	5282457	from acid add ACP	CCCCC/C=C/C/C=C/CCCCCCCC(=O)O	CCCCC/C=C/C/C=C/CCCCCCCC(=O)S
cholesterol-ester-4,7,10,13,16-docosa	MAM01467r	MAM01467	MAM00094r	replace coa with cholesterol	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-6,9,12,15,18-tetraco	MAM01472r	MAM01472	MAM00110r	replace coa with cholesterol	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
1-acylglycerol-3P-9,12,15,18-tetraco	MAM00467c	MAM00467	5497152	add 	OCC(O)CO[P](=O)(O)O	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC(O)CO[P](=O)(O)O
cholesterol-ester-gamma-lin	MAM01493r	MAM01493	MAM01932l	replace coa with cholesterol	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
